INFO 2025-05-11 13:25:55,019 autoreload Watching for file changes with StatReloader
DEBUG 2025-05-11 13:25:55,095 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/contrib/admin/views/__init__.py first seen with mtime 1746826653.1724217
DEBUG 2025-05-11 13:25:55,095 autoreload File /usr/lib/python3.13/email/_policybase.py first seen with mtime 1744184665.0
DEBUG 2025-05-11 13:25:55,095 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/utils/tree.py first seen with mtime 1746826653.3317878
DEBUG 2025-05-11 13:25:55,095 autoreload File /usr/lib/python3.13/email/_encoded_words.py first seen with mtime 1744184665.0
DEBUG 2025-05-11 13:25:55,095 autoreload File /usr/lib/python3.13/socket.py first seen with mtime 1744184665.0
DEBUG 2025-05-11 13:25:55,095 autoreload File /usr/lib/python3.13/lib-dynload/_lzma.cpython-313-x86_64-linux-gnu.so first seen with mtime 1744184665.0
DEBUG 2025-05-11 13:25:55,095 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/utils/__init__.py first seen with mtime 1746826653.3295681
DEBUG 2025-05-11 13:25:55,095 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/contrib/sessions/__init__.py first seen with mtime 1746826653.2816682
DEBUG 2025-05-11 13:25:55,095 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/contrib/auth/forms.py first seen with mtime 1746826653.187433
DEBUG 2025-05-11 13:25:55,095 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/core/files/uploadhandler.py first seen with mtime 1746826653.3057806
DEBUG 2025-05-11 13:25:55,095 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/contrib/admin/widgets.py first seen with mtime 1746826653.1262357
DEBUG 2025-05-11 13:25:55,095 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/forms/models.py first seen with mtime 1746826653.3216057
DEBUG 2025-05-11 13:25:55,095 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/db/migrations/state.py first seen with mtime 1746826653.3152628
DEBUG 2025-05-11 13:25:55,095 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/db/models/fields/json.py first seen with mtime 1746826653.3182523
DEBUG 2025-05-11 13:25:55,095 autoreload File /usr/lib/python3.13/email/quoprimime.py first seen with mtime 1744184665.0
DEBUG 2025-05-11 13:25:55,095 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/urllib3/_base_connection.py first seen with mtime 1746920160.7635589
DEBUG 2025-05-11 13:25:55,095 autoreload File /usr/lib/python3.13/asyncio/unix_events.py first seen with mtime 1744184665.0
DEBUG 2025-05-11 13:25:55,095 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/db/models/deletion.py first seen with mtime 1746826653.316404
DEBUG 2025-05-11 13:25:55,095 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/idna/intranges.py first seen with mtime 1746920160.8093088
DEBUG 2025-05-11 13:25:55,095 autoreload File /usr/lib/python3.13/statistics.py first seen with mtime 1744184665.0
DEBUG 2025-05-11 13:25:55,095 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/template/backends/__init__.py first seen with mtime 1746826653.3273988
DEBUG 2025-05-11 13:25:55,095 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/utils/crypto.py first seen with mtime 1746826653.3300765
DEBUG 2025-05-11 13:25:55,095 autoreload File /usr/lib/python3.13/importlib/metadata/_functools.py first seen with mtime 1744184665.0
DEBUG 2025-05-11 13:25:55,095 autoreload File /usr/lib/python3.13/asyncio/staggered.py first seen with mtime 1744184665.0
DEBUG 2025-05-11 13:25:55,095 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/auto_car/apps.py first seen with mtime 1746830469.6049938
DEBUG 2025-05-11 13:25:55,095 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/sqlparse/engine/__init__.py first seen with mtime 1746826653.0329952
DEBUG 2025-05-11 13:25:55,095 autoreload File /usr/lib/python3.13/encodings/__init__.py first seen with mtime 1744184665.0
DEBUG 2025-05-11 13:25:55,095 autoreload File /usr/lib/python3.13/email/errors.py first seen with mtime 1744184665.0
DEBUG 2025-05-11 13:25:55,095 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/db/models/sql/datastructures.py first seen with mtime 1746826653.3198013
DEBUG 2025-05-11 13:25:55,095 autoreload File /usr/lib/python3.13/tempfile.py first seen with mtime 1744184665.0
DEBUG 2025-05-11 13:25:55,095 autoreload File /usr/lib/python3.13/lib-dynload/_bz2.cpython-313-x86_64-linux-gnu.so first seen with mtime 1744184665.0
DEBUG 2025-05-11 13:25:55,095 autoreload File /usr/lib/python3.13/stringprep.py first seen with mtime 1744184665.0
DEBUG 2025-05-11 13:25:55,095 autoreload File /usr/lib/python3.13/importlib/resources/abc.py first seen with mtime 1744184665.0
DEBUG 2025-05-11 13:25:55,095 autoreload File /usr/lib/python3.13/lib-dynload/_heapq.cpython-313-x86_64-linux-gnu.so first seen with mtime 1744184665.0
DEBUG 2025-05-11 13:25:55,095 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/db/models/functions/math.py first seen with mtime 1746826653.3192356
DEBUG 2025-05-11 13:25:55,095 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/sqlparse/lexer.py first seen with mtime 1746826653.0326123
DEBUG 2025-05-11 13:25:55,095 autoreload File /usr/lib/python3.13/html/parser.py first seen with mtime 1744184665.0
DEBUG 2025-05-11 13:25:55,095 autoreload File /usr/lib/python3.13/lib-dynload/_zoneinfo.cpython-313-x86_64-linux-gnu.so first seen with mtime 1744184665.0
DEBUG 2025-05-11 13:25:55,095 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/middleware/__init__.py first seen with mtime 1746826653.3256698
DEBUG 2025-05-11 13:25:55,095 autoreload File /usr/lib/python3.13/asyncio/exceptions.py first seen with mtime 1744184665.0
DEBUG 2025-05-11 13:25:55,095 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/db/migrations/loader.py first seen with mtime 1746826653.3148017
DEBUG 2025-05-11 13:25:55,095 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/views/generic/__init__.py first seen with mtime 1746826653.3330426
DEBUG 2025-05-11 13:25:55,095 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/core/management/commands/__init__.py first seen with mtime 1746826653.3077824
DEBUG 2025-05-11 13:25:55,095 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/db/migrations/executor.py first seen with mtime 1746826653.3146408
DEBUG 2025-05-11 13:25:55,095 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/db/backends/sqlite3/base.py first seen with mtime 1746826653.313846
DEBUG 2025-05-11 13:25:55,095 autoreload File /usr/lib/python3.13/asyncio/protocols.py first seen with mtime 1744184665.0
DEBUG 2025-05-11 13:25:55,096 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/urllib3/util/ssltransport.py first seen with mtime 1746920160.7664745
DEBUG 2025-05-11 13:25:55,096 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/core/files/images.py first seen with mtime 1746826653.3055599
DEBUG 2025-05-11 13:25:55,096 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/template/defaulttags.py first seen with mtime 1746826653.326814
DEBUG 2025-05-11 13:25:55,096 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/auto_car/urls.py first seen with mtime 1746968369.5612266
DEBUG 2025-05-11 13:25:55,096 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/contrib/admin/views/main.py first seen with mtime 1746826653.172641
